"Regions","Area_ha","2013-01-10","2013-01-17","2013-01-24","2013-01-31","2013-02-07","2013-02-14","2013-02-21","2013-02-28","2013-03-07","2013-03-14"
"Noroeste",75160,0,0,0.01,0.08,0.18,0.28,0.52,0.87,0.98,1
"Brasnorte",27714,0,0,0.01,0.08,0.18,0.28,0.52,0.87,0.98,1
"Others_Noroeste",47446,0,0,0.01,0.08,0.18,0.28,0.52,0.87,0.98,1
"Norte",22503,0,0.005,0.01,0.12,0.22,0.35,0.6,0.9,1,1
"Itauba",7527,0,0.005,0.01,0.12,0.22,0.35,0.6,0.9,1,1
"Others_Norte",14976,0,0.005,0.01,0.12,0.22,0.35,0.6,0.9,1,1
"Nordeste",172583,0,0,0.005,0.01,0.093,0.22,0.633,0.847,0.981,1
"Canarana",35444,0,0,0.005,0.01,0.1,0.2,0.7,0.9,1,1
"Querencia",61345,0,0,0.005,0.01,0.09,0.23,0.6,0.85,0.97,1
"Gaucha_do_Norte",13632,0,0,0,0.01,0.08,0.18,0.53,0.78,0.98,1
"Nova_Xavantina",13632,0,0,0,0.01,0.08,0.18,0.5,0.75,0.98,1
"Others_Nordeste",48530,0,0,0,0.01,0.09,0.19,0.6,0.85,0.98,1
"Medio_Norte",1440635,0.004,0.015,0.032,0.13,0.241,0.497,0.714,0.918,0.986,1
"Lucas_do_Rio_Verde",179391,0.015,0.02,0.06,0.08,0.15,0.37,0.5,0.9,0.99,1
"Sorriso",487130,0,0.02,0.03,0.18,0.3,0.6,0.87,0.97,0.99,1
"Nova_Mutum",111193,0.02,0.03,0.04,0.11,0.2,0.45,0.68,0.85,0.97,1
"Ipiranga_do_Norte",95308,0,0.005,0.02,0.09,0.2,0.41,0.62,0.8,0.98,1
"Sinop",68834,0,0.01,0.05,0.18,0.26,0.5,0.7,0.98,1,1
"Tapurah",52949,0,0.005,0.03,0.11,0.26,0.5,0.7,0.96,1,1
"Santa_Rita_do_Trivelato",63539,0,0.005,0.02,0.1,0.2,0.4,0.62,0.85,0.98,1
"Nova_Ubirata",105898,0,0.005,0.02,0.1,0.17,0.47,0.68,0.9,0.99,1
"Vera",76246,0,0.005,0.02,0.09,0.35,0.57,0.75,0.96,1,1
"Sao_Jose_do_Rio_Claro",27533,0.01,0.015,0.03,0.11,0.21,0.36,0.53,0.8,0.99,1
"Others_Medio_Norte",172614,0,0.01,0.025,0.11,0.22,0.46,0.65,0.9,0.97,1
"Oeste",350078,0.007,0.017,0.048,0.112,0.222,0.391,0.558,0.839,0.987,1
"Sapezal",113813,0.01,0.03,0.06,0.15,0.25,0.46,0.6,0.8,0.99,1
"Campo_Novo_dos_Parecis",132437,0.01,0.02,0.05,0.1,0.2,0.3,0.51,0.85,0.99,1
"Campos_de_Julio",84842,0,0,0.03,0.08,0.22,0.44,0.58,0.87,0.98,1
"Others_Oeste",18986,0,0,0.05,0.11,0.22,0.4,0.55,0.85,0.98,1
"Centro_Sul",170751,0,0.007,0.017,0.075,0.195,0.349,0.532,0.815,0.963,1
"Diamantino",95542,0,0.01,0.02,0.08,0.25,0.4,0.55,0.8,0.95,1
"Tangara_da_Serra",31847,0,0.005,0.02,0.06,0.12,0.28,0.5,0.9,0.98,1
"Santo_Antonio_do_Leveger",12249,0,0,0.005,0.04,0.1,0.2,0.45,0.75,0.98,1
"Chapada_dos_Guimaraes",17149,0,0.005,0.01,0.1,0.14,0.34,0.57,0.8,1,1
"Others_Centro_Sul",13964,0,0.005,0.01,0.07,0.14,0.3,0.51,0.8,0.95,1
"Sudeste",556215,0,0.007,0.016,0.053,0.117,0.288,0.538,0.825,0.965,1
"Campo_Verde",109391,0,0.01,0.03,0.09,0.2,0.4,0.68,0.9,1,1
"Primavera_do_Leste",121545,0,0.01,0.02,0.04,0.1,0.26,0.55,0.86,0.96,1
"Alto_Garcas_e_Alto_Taquari",13127,0,0.005,0.01,0.03,0.09,0.24,0.45,0.75,0.95,1
"Jaciara_e_Juscimeira",35491,0,0,0.01,0.03,0.08,0.25,0.42,0.73,0.98,1
"Santo_Antonio_do_Leste",34033,0,0.005,0.01,0.04,0.08,0.22,0.46,0.77,0.97,1
"Others_Sudeste",242629,0,0.005,0.01,0.05,0.1,0.27,0.5,0.8,0.95,1
"Mato_Grosso",2787925,0.003,0.012,0.028,0.1,0.2,0.409,0.637,0.878,0.98,1
