"Regions","Area_ha","2012-09-20","2012-09-27","2012-10-04","2012-10-11","2012-10-18","2012-10-25","2012-11-01","2012-11-08","2012-11-15","2012-11-22","2012-11-23"
"Noroeste",415480,0.005,0.015,0.025,0.08,0.18,0.35,0.45,0.69,0.8,0.92,1
"Brasnorte",164949,0.005,0.015,0.025,0.08,0.18,0.35,0.45,0.69,0.8,0.92,1
"Others_Noroeste",250531,0.005,0.015,0.025,0.08,0.18,0.35,0.45,0.69,0.8,0.92,1
"Norte",127897,0.006,0.016,0.106,0.206,0.343,0.55,0.75,0.9,0.99,1,1
"Itauba",37012,0.01,0.02,0.12,0.22,0.35,0.55,0.75,0.9,0.99,1,1
"Others_Norte",90885,0.005,0.015,0.1,0.2,0.34,0.55,0.75,0.9,0.99,1,1
"Nordeste",1200834,0,0,0,0.007,0.035,0.117,0.193,0.398,0.547,0.888,1
"Canarana",193658,0,0,0.001,0.01,0.03,0.09,0.13,0.4,0.52,0.86,1
"Querencia",326086,0,0,0,0.01,0.04,0.15,0.24,0.45,0.55,0.9,1
"Gaucha_do_Norte",154883,0,0,0,0.005,0.03,0.1,0.18,0.34,0.5,0.88,1
"Nova_Xavantina",56082,0,0,0,0.005,0.04,0.12,0.2,0.39,0.65,0.91,1
"Others_Nordeste",470125,0,0,0,0.005,0.035,0.11,0.19,0.38,0.56,0.89,1
"Medio_Norte",3011900,0.007,0.023,0.138,0.229,0.435,0.692,0.859,0.949,0.995,1,1
"Lucas_do_Rio_Verde",266389,0.01,0.025,0.18,0.3,0.49,0.73,0.89,0.98,1,1,1
"Sorriso",633400,0.01,0.025,0.25,0.3,0.55,0.78,0.92,0.97,1,1,1
"Nova_Mutum",385388,0.01,0.03,0.06,0.125,0.35,0.69,0.83,0.9,0.99,1,1
"Ipiranga_do_Norte",240027,0.01,0.02,0.12,0.22,0.42,0.68,0.88,0.98,1,1,1
"Sinop",118893,0.005,0.02,0.12,0.23,0.4,0.59,0.83,0.95,1,1,1
"Tapurah",165105,0,0.015,0.09,0.18,0.35,0.58,0.8,0.93,0.99,1,1
"Santa_Rita_do_Trivelato",176205,0.005,0.03,0.06,0.15,0.35,0.6,0.82,0.95,1,1,1
"Nova_Ubirata",293924,0.005,0.025,0.12,0.22,0.42,0.75,0.9,0.98,1,1,1
"Vera",143120,0,0.01,0.12,0.28,0.47,0.7,0.9,0.98,1,1,1
"Sao_Jose_do_Rio_Claro",119960,0.005,0.025,0.12,0.23,0.37,0.47,0.6,0.8,0.95,0.99,1
"Others_Medio_Norte",469489,0.005,0.02,0.11,0.22,0.41,0.68,0.84,0.94,0.99,1,1
"Oeste",1002240,0.009,0.023,0.081,0.211,0.367,0.452,0.575,0.787,0.92,0.976,1
"Sapezal",366600,0.01,0.03,0.12,0.26,0.45,0.52,0.62,0.85,0.94,0.99,1
"Campo_Novo_dos_Parecis",382881,0.01,0.02,0.03,0.12,0.27,0.37,0.52,0.73,0.9,0.96,1
"Campos_de_Julio",178000,0.005,0.015,0.12,0.32,0.4,0.49,0.6,0.78,0.92,0.98,1
"Others_Oeste",74759,0.005,0.02,0.06,0.18,0.38,0.45,0.58,0.79,0.92,0.98,1
"Centro_Sul",483358,0.009,0.025,0.084,0.167,0.265,0.384,0.439,0.656,0.779,0.979,1
"Diamantino",319340,0.01,0.03,0.08,0.16,0.25,0.35,0.39,0.64,0.78,0.98,1
"Tangara_da_Serra",67258,0.01,0.025,0.06,0.13,0.22,0.38,0.48,0.65,0.71,0.96,1
"Santo_Antonio_do_Leveger",23887,0,0.005,0.15,0.25,0.39,0.48,0.55,0.69,0.75,0.99,1
"Chapada_dos_Guimaraes",19594,0,0.005,0.15,0.24,0.42,0.65,0.74,0.9,0.99,1,1
"Others_Centro_Sul",53279,0.005,0.015,0.08,0.19,0.3,0.45,0.52,0.65,0.8,0.98,1
"Sudeste",1649248,0.005,0.013,0.071,0.193,0.379,0.54,0.632,0.785,0.956,0.997,1
"Campo_Verde",209405,0.01,0.025,0.15,0.3,0.53,0.76,0.85,0.95,0.99,1,1
"Primavera_do_Leste",260000,0.01,0.02,0.12,0.25,0.45,0.65,0.7,0.9,0.95,1,1
"Alto_Garcas_e_Alto_Taquari",141112,0,0.005,0.03,0.15,0.3,0.38,0.47,0.62,0.9,0.98,1
"Jaciara_e_Juscimeira",83590,0,0.005,0.03,0.16,0.3,0.4,0.5,0.67,0.95,0.99,1
"Santo_Antonio_do_Leste",135618,0,0.01,0.05,0.18,0.31,0.48,0.55,0.7,0.95,0.99,1
"Others_Sudeste",819523,0.005,0.01,0.05,0.16,0.35,0.5,0.61,0.76,0.96,1,1
"Mato_Grosso",7890957,0.006,0.017,0.086,0.173,0.328,0.503,0.625,0.778,0.885,0.974,1
